x      , v      , u      
0.70771, 0.29481, 0.29148
0.70871, 0.29381, 0.29049
0.70971, 0.29281,  0.2895
0.71071, 0.29181,  0.2885
0.71171, 0.29081, 0.28751
0.71271,  0.2898, 0.28652
0.71371,  0.2888, 0.28552
0.71471,  0.2878, 0.28453
0.71572,  0.2868, 0.28354
0.71672,  0.2858, 0.28254
0.71772,  0.2848, 0.28155
0.71872,  0.2838, 0.28056
0.71972,  0.2828, 0.27956
0.72072,  0.2818, 0.27857
0.72172, 0.28079, 0.27758
0.72272, 0.27979, 0.27658
0.72372, 0.27879, 0.27559
0.72472, 0.27779,  0.2746
0.72573, 0.27679,  0.2736
0.72673, 0.27578, 0.27261
0.72773, 0.27478, 0.27161
0.72873, 0.27378, 0.27062
0.72973, 0.27278, 0.26963
0.73073, 0.27178, 0.26863
0.73173, 0.27077, 0.26764
0.73273, 0.26977, 0.26664
0.73373, 0.26877, 0.26565
0.73473, 0.26777, 0.26465
0.73574, 0.26676, 0.26366
0.73674, 0.26576, 0.26267
0.73774, 0.26476, 0.26167
0.73874, 0.26376, 0.26068
0.73974, 0.26275, 0.25968
0.74074, 0.26175, 0.25869
0.74174, 0.26075, 0.25769
0.74274, 0.25975,  0.2567
0.74374, 0.25874,  0.2557
0.74474, 0.25774, 0.25471
0.74575, 0.25674, 0.25371
0.74675, 0.25573, 0.25272
0.74775, 0.25473, 0.25172
0.74875, 0.25373, 0.25073
0.74975, 0.25272, 0.24973
0.75075, 0.25172, 0.24873
0.75175, 0.25072, 0.24774
0.75275, 0.24971, 0.24674
0.75375, 0.24871, 0.24575
0.75475, 0.24771, 0.24475
0.75576,  0.2467, 0.24376
0.75676,  0.2457, 0.24276
0.75776,  0.2447, 0.24176
0.75876, 0.24369, 0.24077
0.75976, 0.24269, 0.23977
0.76076, 0.24168, 0.23878
0.76176, 0.24068, 0.23778
0.76276, 0.23968, 0.23679
0.76376, 0.23867, 0.23579
0.76476, 0.23767, 0.23479
0.76577, 0.23666,  0.2338
0.76677, 0.23566,  0.2328
0.76777, 0.23466,  0.2318
0.76877, 0.23365, 0.23081
0.76977, 0.23265, 0.22981
0.77077, 0.23164, 0.22881
0.77177, 0.23064, 0.22782
0.77277, 0.22963, 0.22682
0.77377, 0.22863, 0.22583
0.77477, 0.22762, 0.22483
0.77578, 0.22662, 0.22383
0.77678, 0.22561, 0.22284
0.77778, 0.22461, 0.22184
0.77878, 0.22361, 0.22084
0.77978,  0.2226, 0.21984
0.78078,  0.2216, 0.21885
0.78178, 0.22059, 0.21785
0.78278, 0.21959, 0.21685
0.78378, 0.21858, 0.21586
0.78478, 0.21758, 0.21486
0.78579, 0.21657, 0.21386
