x    , v    , u    
0.45445, 0.54033, 0.53494
0.45546, 0.53943, 0.53405
0.45646, 0.53853, 0.53315
0.45746, 0.53762, 0.53225
0.45846, 0.53671, 0.53135
0.45946, 0.53581, 0.53046
0.46046, 0.5349, 0.52955
0.46146, 0.53399, 0.52865
0.46246, 0.53308, 0.52775
0.46346, 0.53217, 0.52685
0.46446, 0.53125, 0.52594
0.46547, 0.53034, 0.52504
0.46647, 0.52943, 0.52413
0.46747, 0.52851, 0.52323
0.46847, 0.5276, 0.52232
0.46947, 0.52668, 0.52141
0.47047, 0.52576, 0.5205
0.47147, 0.52484, 0.51959
0.47247, 0.52392, 0.51868
0.47347, 0.523, 0.51776
0.47447, 0.52208, 0.51685
0.47548, 0.52116, 0.51594
0.47648, 0.52024, 0.51502
0.47748, 0.51931, 0.5141
0.47848, 0.51839, 0.51319
0.47948, 0.51746, 0.51227
0.48048, 0.51653, 0.51135
0.48148, 0.51561, 0.51043
0.48248, 0.51468, 0.50951
0.48348, 0.51375, 0.50859
0.48448, 0.51282, 0.50767
0.48549, 0.51189, 0.50675
0.48649, 0.51096, 0.50582
0.48749, 0.51002, 0.5049
0.48849, 0.50909, 0.50397
0.48949, 0.50816, 0.50305
0.49049, 0.50722, 0.50212
0.49149, 0.50629, 0.50119
0.49249, 0.50535, 0.50027
0.49349, 0.50442, 0.49934
0.49449, 0.50348, 0.49841
0.4955, 0.50254, 0.49748
0.4965, 0.5016, 0.49655
0.4975, 0.50066, 0.49562
0.4985, 0.49972, 0.49468
0.4995, 0.49878, 0.49375
0.5005, 0.49784, 0.49282
0.5015, 0.4969, 0.49188
0.5025, 0.49595, 0.49095
0.5035, 0.49501, 0.49001
0.5045, 0.49407, 0.48908
0.50551, 0.49312, 0.48814
0.50651, 0.49218, 0.4872
0.50751, 0.49123, 0.48626
0.50851, 0.49028, 0.48533
0.50951, 0.48934, 0.48439
0.51051, 0.48839, 0.48345
0.51151, 0.48744, 0.48251
0.51251, 0.48649, 0.48157
0.51351, 0.48554, 0.48062
0.51451, 0.48459, 0.47968
0.51552, 0.48364, 0.47874
0.51652, 0.48269, 0.47779
0.51752, 0.48174, 0.47685
0.51852, 0.48078, 0.47591
0.51952, 0.47983, 0.47496
0.52052, 0.47888, 0.47402
0.52152, 0.47792, 0.47307
0.52252, 0.47697, 0.47212
0.52352, 0.47601, 0.47117
0.52452, 0.47506, 0.47023
0.52553, 0.4741, 0.46928
0.52653, 0.47314, 0.46833
0.52753, 0.47218, 0.46738
0.52853, 0.47123, 0.46643
0.52953, 0.47027, 0.46548
0.53053, 0.46931, 0.46453
0.53153, 0.46835, 0.46358
0.53253, 0.46739, 0.46262
0.53353, 0.46643, 0.46167
0.53453, 0.46547, 0.46072
0.53554, 0.46451, 0.45977
0.53654, 0.46354, 0.45881
0.53754, 0.46258, 0.45786
0.53854, 0.46162, 0.4569
0.53954, 0.46066, 0.45595
0.54054, 0.45969, 0.45499
0.54154, 0.45873, 0.45404
0.54254, 0.45776, 0.45308
0.54354, 0.4568, 0.45212
0.54454, 0.45583, 0.45116
0.54555, 0.45487, 0.45021
0.54655, 0.4539, 0.44925
0.54755, 0.45293, 0.44829
0.54855, 0.45197, 0.44733
0.54955, 0.451, 0.44637
0.55055, 0.45003, 0.44541
0.55155, 0.44906, 0.44445
0.55255, 0.44809, 0.44349
0.55355, 0.44712, 0.44253
0.55455, 0.44615, 0.44157
0.55556, 0.44518, 0.4406
0.55656, 0.44421, 0.43964
0.55756, 0.44324, 0.43868
0.55856, 0.44227, 0.43772
