final_temp , Eaverage/L/L , Evariance/final_temp/final_temp , Mabsvariance/final_temp , Mabsvariance/L/L1
1, -0.82534, 299.172, 2.75614, 0.05753
1, -0.82886, 299.321, 2.75492, 0.05773
1, -0.8324, 299.475, 2.75335, 0.05792
1, -0.8359, 299.589, 2.75282, 0.05814
1, -0.83942, 299.709, 2.75185, 0.05835
1, -0.84294, 299.818, 2.75321, 0.05861
1, -0.84644, 299.903, 2.7551, 0.05888
1, -0.84994, 299.978, 2.75822, 0.05917
1, -0.85346, 300.058, 2.75941, 0.05943
1, -0.857, 300.142, 2.76, 0.05968
1, -0.86052, 300.202, 2.76108, 0.05994
1, -0.86406, 300.266, 2.76107, 0.06018
1, -0.8676, 300.32, 2.76101, 0.06042
1, -0.87112, 300.35, 2.7614, 0.06067
1, -0.87464, 300.37, 2.76227, 0.06093
1, -0.87818, 300.395, 2.76121, 0.06115
1, -0.88166, 300.367, 2.75941, 0.06135
1, -0.88512, 300.316, 2.75913, 0.06159
1, -0.88862, 300.283, 2.75981, 0.06185
1, -0.89212, 300.24, 2.76044, 0.06211
1, -0.89564, 300.201, 2.7635, 0.06241
1, -0.89914, 300.138, 2.76876, 0.06274
1, -0.90262, 300.052, 2.77238, 0.06305
1, -0.90612, 299.97, 2.77224, 0.0633
1, -0.90964, 299.891, 2.77159, 0.06354
1, -0.91312, 299.776, 2.76972, 0.06375
1, -0.91666, 299.691, 2.76816, 0.06397
1, -0.92018, 299.583, 2.76656, 0.06419
1, -0.92372, 299.479, 2.76619, 0.06444
1, -0.92722, 299.337, 2.76628, 0.0647
1, -0.9307, 299.173, 2.76942, 0.06501
1, -0.93422, 299.025, 2.77178, 0.06531
1, -0.93776, 298.881, 2.77795, 0.06566
1, -0.9413, 298.727, 2.78316, 0.066
1, -0.9448, 298.536, 2.78528, 0.0663
1, -0.94832, 298.349, 2.78952, 0.06663
1, -0.95186, 298.164, 2.79531, 0.06698
1, -0.95538, 297.957, 2.79439, 0.06723
1, -0.95888, 297.727, 2.79342, 0.06748
1, -0.9624, 297.5, 2.79156, 0.06771
1, -0.9659, 297.25, 2.79204, 0.06799
1, -0.96944, 297.016, 2.79049, 0.06823
1, -0.97294, 296.747, 2.79275, 0.06854
1, -0.97642, 296.455, 2.79249, 0.06881
1, -0.9799, 296.154, 2.79078, 0.06905
1, -0.98332, 295.808, 2.78902, 0.06929
1, -0.98678, 295.476, 2.78764, 0.06954
1, -0.99032, 295.182, 2.78409, 0.06972
1, -0.9938, 294.843, 2.78027, 0.06988
1, -0.99728, 294.493, 2.77764, 0.0701
1, -1.00076, 294.134, 2.7744, 0.0703
1, -1.00426, 293.777, 2.77075, 0.07048
1, -1.00772, 293.387, 2.76684, 0.07064
1, -1.0112, 292.998, 2.76303, 0.07075
1, -1.01468, 292.6, 2.75956, 0.07084
1, -1.01816, 292.193, 2.75786, 0.07109
1, -1.02164, 291.775, 2.75409, 0.07127
1, -1.02512, 291.348, 2.7503, 0.07145
1, -1.02858, 290.9, 2.74624, 0.07158
1, -1.03204, 290.443, 2.74217, 0.07171
1, -1.0355, 289.976, 2.73828, 0.07182
1, -1.03896, 289.499, 2.73425, 0.07194
1, -1.04244, 289.024, 2.73034, 0.07205
1, -1.04584, 288.496, 2.72701, 0.07213
1, -1.04926, 287.969, 2.72593, 0.07215
1, -1.0527, 287.443, 2.72537, 0.07216
1, -1.05614, 286.908, 2.72203, 0.07224
1, -1.05956, 286.353, 2.72004, 0.07228
1, -1.063, 285.799, 2.71645, 0.07237
1, -1.06642, 285.226, 2.71266, 0.07247
1, -1.0699, 284.674, 2.71026, 0.07252
1, -1.0734, 284.123, 2.7075, 0.07258
1, -1.07692, 283.574, 2.70473, 0.07264
1, -1.08046, 283.025, 2.70196, 0.0727
1, -1.084, 282.467, 2.69798, 0.07281
