t, rx, ry, rz
2.0804818, -0.81554631, -1.0987279, 0
2.0832193, -0.80420209, -1.1077816, 0
2.0859567, -0.7927637, -1.1167084, 0
2.0886942, -0.78123256, -1.1255075, 0
2.0914317, -0.76961011, -1.134178, 0
2.0941692, -0.75789778, -1.142719, 0
2.0969067, -0.74609704, -1.1511297, 0
2.0996441, -0.73420933, -1.1594092, 0
2.1023816, -0.72223611, -1.1675569, 0
2.1051191, -0.71017885, -1.1755718, 0
2.1078566, -0.69803901, -1.1834532, 0
2.110594, -0.68581808, -1.1912004, 0
2.1133315, -0.67351753, -1.1988126, 0
2.116069, -0.66113886, -1.2062891, 0
2.1188065, -0.64868354, -1.2136292, 0
2.1215439, -0.63615308, -1.2208322, 0
2.1242814, -0.62354898, -1.2278974, 0
2.1270189, -0.61087274, -1.2348242, 0
2.1297564, -0.59812587, -1.2416118, 0
2.1324938, -0.58530988, -1.2482598, 0
2.1352313, -0.57242629, -1.2547675, 0
2.1379688, -0.55947663, -1.2611342, 0
2.1407063, -0.54646241, -1.2673594, 0
2.1434437, -0.53338516, -1.2734426, 0
2.1461812, -0.52024642, -1.2793831, 0
2.1489187, -0.50704772, -1.2851805, 0
2.1516562, -0.4937906, -1.2908342, 0
2.1543936, -0.48047659, -1.2963437, 0
2.1571311, -0.46710725, -1.3017086, 0
2.1598686, -0.45368411, -1.3069283, 0
2.1626061, -0.44020873, -1.3120024, 0
2.1653436, -0.42668266, -1.3169306, 0
2.168081, -0.41310745, -1.3217122, 0
2.1708185, -0.39948466, -1.326347, 0
2.173556, -0.38581585, -1.3308346, 0
2.1762935, -0.37210256, -1.3351745, 0
2.1790309, -0.35834638, -1.3393664, 0
2.1817684, -0.34454885, -1.34341, 0
2.1845059, -0.33071155, -1.3473049, 0
2.1872434, -0.31683603, -1.3510509, 0
2.1899808, -0.30292388, -1.3546475, 0
2.1927183, -0.28897664, -1.3580946, 0
2.1954558, -0.2749959, -1.3613919, 0
2.1981933, -0.26098323, -1.364539, 0
2.2009307, -0.24694019, -1.3675358, 0
2.2036682, -0.23286835, -1.3703821, 0
2.2064057, -0.21876929, -1.3730776, 0
2.2091432, -0.20464458, -1.3756222, 0
2.2118806, -0.19049579, -1.3780156, 0
2.2146181, -0.1763245, -1.3802578, 0
2.2173556, -0.16213227, -1.3823485, 0
2.2200931, -0.14792068, -1.3842876, 0
2.2228306, -0.1336913, -1.3860751, 0
2.225568, -0.1194457, -1.3877108, 0
2.2283055, -0.10518545, -1.3891946, 0
2.231043, -0.090912126, -1.3905265, 0
2.2337805, -0.076627293, -1.3917065, 0
2.2365179, -0.062332521, -1.3927343, 0
2.2392554, -0.048029377, -1.3936102, 0
2.2419929, -0.033719427, -1.3943339, 0
2.2447304, -0.019404237, -1.3949057, 0
2.2474678, -0.0050853701, -1.3953253, 0
2.2502053, 0.0092356113, -1.395593, 0
2.2529428, 0.023557147, -1.3957087, 0
2.2556803, 0.037877677, -1.3956726, 0
2.2584177, 0.052195645, -1.3954846, 0
2.2611552, 0.066509495, -1.3951449, 0
2.2638927, 0.080817675, -1.3946537, 0
2.2666302, 0.095118634, -1.3940109, 0
2.2693676, 0.10941082, -1.3932168, 0
2.2721051, 0.1236927, -1.3922716, 0
2.2748426, 0.13796271, -1.3911753, 0
2.2775801, 0.15221933, -1.3899282, 0
2.2803175, 0.166461, -1.3885304, 0
2.283055, 0.1806862, -1.3869823, 0
2.2857925, 0.1948934, -1.3852839, 0
2.28853, 0.20908106, -1.3834356, 0
2.2912675, 0.22324766, -1.3814376, 0
2.2940049, 0.23739168, -1.3792901, 0
2.2967424, 0.2515116, -1.3769935, 0
2.2994799, 0.26560589, -1.3745481, 0
2.3022174, 0.27967306, -1.3719542, 0
2.3049548, 0.29371159, -1.369212, 0
2.3076923, 0.30771998, -1.366322, 0
2.3104298, 0.32169673, -1.3632844, 0
2.3131673, 0.33564034, -1.3600998, 0
2.3159047, 0.34954932, -1.3567683, 0
2.3186422, 0.36342218, -1.3532906, 0
2.3213797, 0.37725744, -1.3496669, 0
2.3241172, 0.39105362, -1.3458976, 0
2.3268546, 0.40480926, -1.3419833, 0
2.3295921, 0.41852287, -1.3379244, 0
2.3323296, 0.43219299, -1.3337213, 0
2.3350671, 0.44581818, -1.3293745, 0
2.3378045, 0.45939696, -1.3248845, 0
2.340542, 0.4729279, -1.3202519, 0
2.3432795, 0.48640955, -1.3154772, 0
2.346017, 0.49984048, -1.3105608, 0
2.3487544, 0.51321924, -1.3055033, 0
2.3514919, 0.52654442, -1.3003054, 0
2.3542294, 0.53981459, -1.2949675, 0
2.3569669, 0.55302834, -1.2894903, 0
2.3597044, 0.56618426, -1.2838744, 0
2.3624418, 0.57928095, -1.2781203, 0
2.3651793, 0.59231701, -1.2722288, 0
2.3679168, 0.60529104, -1.2662005, 0
2.3706543, 0.61820168, -1.2600359, 0
2.3733917, 0.63104753, -1.2537358, 0
2.3761292, 0.64382724, -1.247301, 0
2.3788667, 0.65653943, -1.2407319, 0
2.3816042, 0.66918274, -1.2340295, 0
2.3843416, 0.68175584, -1.2271943, 0
2.3870791, 0.69425737, -1.2202272, 0
2.3898166, 0.706686, -1.2131288, 0
2.3925541, 0.71904041, -1.2059, 0
2.3952915, 0.73131926, -1.1985415, 0
2.398029, 0.74352125, -1.1910541, 0
2.4007665, 0.75564508, -1.1834386, 0
2.403504, 0.76768944, -1.1756958, 0
2.4062414, 0.77965304, -1.1678265, 0
2.4089789, 0.7915346, -1.1598315, 0
2.4117164, 0.80333286, -1.1517118, 0
2.4144539, 0.81504653, -1.1434682, 0
2.4171913, 0.82667437, -1.1351015, 0
2.4199288, 0.83821512, -1.1266126, 0
2.4226663, 0.84966755, -1.1180024, 0
2.4254038, 0.86103042, -1.1092719, 0
2.4281413, 0.87230252, -1.1004219, 0
2.4308787, 0.88348261, -1.0914534, 0
2.4336162, 0.89456951, -1.0823673, 0
2.4363537, 0.905562, -1.0731646, 0
2.4390912, 0.91645892, -1.0638462, 0
2.4418286, 0.92725907, -1.0544132, 0
2.4445661, 0.93796128, -1.0448665, 0
2.4473036, 0.94856441, -1.0352071, 0
2.4500411, 0.9590673, -1.0254361, 0
2.4527785, 0.9694688, -1.0155544, 0
2.455516, 0.97976779, -1.0055631, 0
2.4582535, 0.98996316, -0.99546326, 0
2.460991, 1.0000538, -0.9852559, 0
2.4637284, 1.0100386, -0.97494212, 0
2.4664659, 1.0199164, -0.96452299, 0
2.4692034, 1.0296862, -0.9539996, 0
2.4719409, 1.039347, -0.94337306, 0
2.4746783, 1.0488976, -0.93264447, 0
2.4774158, 1.058337, -0.92181496, 0
2.4801533, 1.0676642, -0.91088566, 0
2.4828908, 1.0768782, -0.89985772, 0
2.4856283, 1.0859779, -0.88873229, 0
2.4883657, 1.0949623, -0.87751054, 0
2.4911032, 1.1038304, -0.86619364, 0
2.4938407, 1.1125813, -0.85478278, 0
2.4965782, 1.121214, -0.84327915, 0
2.4993156, 1.1297275, -0.83168396, 0
2.5020531, 1.1381209, -0.81999842, 0
2.5047906, 1.1463932, -0.80822376, 0
2.5075281, 1.1545435, -0.79636121, 0
2.5102655, 1.162571, -0.78441202, 0
2.513003, 1.1704746, -0.77237744, 0
2.5157405, 1.1782536, -0.76025873, 0
2.518478, 1.185907, -0.74805716, 0
2.5212154, 1.1934339, -0.73577402, 0
2.5239529, 1.2008336, -0.72341059, 0
2.5266904, 1.2081052, -0.71096818, 0
2.5294279, 1.2152479, -0.69844809, 0
2.5321653, 1.2222607, -0.68585164, 0
2.5349028, 1.2291431, -0.67318016, 0
2.5376403, 1.235894, -0.66043497, 0
2.5403778, 1.2425129, -0.64761743, 0
2.5431152, 1.2489989, -0.63472888, 0
2.5458527, 1.2553513, -0.62177068, 0
2.5485902, 1.2615692, -0.60874419, 0
2.5513277, 1.2676522, -0.5956508, 0
2.5540652, 1.2735993, -0.58249188, 0
2.5568026, 1.2794099, -0.56926883, 0
2.5595401, 1.2850833, -0.55598305, 0
2.5622776, 1.290619, -0.54263593, 0
2.5650151, 1.2960161, -0.5292289, 0
2.5677525, 1.3012741, -0.51576337, 0
2.57049, 1.3063923, -0.50224077, 0
2.5732275, 1.3113702, -0.48866253, 0
