rx , ry , rz
-0.976801 , 0.206451 , 0
-0.980353 , 0.189627 , 0
-0.983615 , 0.172747 , 0
-0.986586 , 0.155816 , 0
-0.989266 , 0.138838 , 0
-0.991653 , 0.12182 , 0
-0.993746 , 0.104765 , 0
-0.995547 , 0.0876798 , 0
-0.997053 , 0.0705685 , 0
-0.998265 , 0.0534364 , 0
-0.999183 , 0.0362885 , 0
-0.999806 , 0.0191299 , 0
-1.00013 , 0.00196571 , 0
-1.00017 , -0.0151991 , 0
-0.999908 , -0.0323594 , 0
-0.999353 , -0.0495102 , 0
-0.998503 , -0.0666464 , 0
-0.997361 , -0.0837631 , 0
-0.995925 , -0.100855 , 0
-0.994196 , -0.117917 , 0
-0.992176 , -0.134945 , 0
-0.989864 , -0.151933 , 0
-0.987262 , -0.168877 , 0
-0.98437 , -0.185771 , 0
-0.98119 , -0.20261 , 0
-0.977722 , -0.219391 , 0
-0.973968 , -0.236107 , 0
-0.969929 , -0.252753 , 0
-0.965605 , -0.269326 , 0
-0.961 , -0.28582 , 0
-0.956113 , -0.302231 , 0
-0.950947 , -0.318553 , 0
-0.945503 , -0.334782 , 0
-0.939782 , -0.350913 , 0
-0.933788 , -0.366942 , 0
-0.927521 , -0.382864 , 0
-0.920983 , -0.398674 , 0
-0.914177 , -0.414367 , 0
-0.907104 , -0.42994 , 0
-0.899767 , -0.445388 , 0
-0.892168 , -0.460706 , 0
-0.88431 , -0.47589 , 0
-0.876194 , -0.490936 , 0
-0.867823 , -0.505838 , 0
-0.859199 , -0.520594 , 0
-0.850327 , -0.535198 , 0
-0.841206 , -0.549647 , 0
-0.831842 , -0.563936 , 0
-0.822236 , -0.578061 , 0
-0.812392 , -0.592019 , 0
-0.802311 , -0.605805 , 0
-0.791998 , -0.619415 , 0
-0.781456 , -0.632845 , 0
-0.770687 , -0.646092 , 0
-0.759694 , -0.659152 , 0
-0.748482 , -0.672021 , 0
-0.737052 , -0.684695 , 0
-0.72541 , -0.697172 , 0
-0.713557 , -0.709446 , 0
-0.701499 , -0.721515 , 0
-0.689237 , -0.733376 , 0
-0.676776 , -0.745024 , 0
-0.664119 , -0.756457 , 0
-0.651271 , -0.767672 , 0
-0.638234 , -0.778665 , 0
-0.625013 , -0.789433 , 0
-0.611612 , -0.799973 , 0
-0.598034 , -0.810282 , 0
-0.584283 , -0.820357 , 0
-0.570364 , -0.830196 , 0
-0.556281 , -0.839796 , 0
-0.542037 , -0.849153 , 0
-0.527637 , -0.858265 , 0
-0.513085 , -0.86713 , 0
-0.498385 , -0.875745 , 0
-0.483541 , -0.884108 , 0
-0.468558 , -0.892217 , 0
-0.453441 , -0.900068 , 0
-0.438192 , -0.90766 , 0
-0.422818 , -0.914991 , 0
-0.407322 , -0.922059 , 0
-0.391708 , -0.928861 , 0
-0.375982 , -0.935397 , 0
-0.360148 , -0.941663 , 0
-0.34421 , -0.947658 , 0
-0.328174 , -0.953381 , 0
-0.312043 , -0.95883 , 0
-0.295822 , -0.964003 , 0
-0.279516 , -0.968899 , 0
-0.26313 , -0.973516 , 0
-0.246668 , -0.977854 , 0
-0.230136 , -0.981911 , 0
-0.213537 , -0.985685 , 0
-0.196877 , -0.989177 , 0
-0.18016 , -0.992384 , 0
-0.163392 , -0.995307 , 0
-0.146576 , -0.997943 , 0
-0.129719 , -1.00029 , 0
-0.112824 , -1.00236 , 0
-0.0958972 , -1.00413 , 0
-0.0789426 , -1.00562 , 0
-0.0619653 , -1.00681 , 0
-0.0449702 , -1.00772 , 0
-0.0279623 , -1.00834 , 0
-0.0109463 , -1.00867 , 0
0.00607288 , -1.00871 , 0
0.0230903 , -1.00846 , 0
0.0401011 , -1.00792 , 0
0.0571003 , -1.00709 , 0
0.0740832 , -1.00598 , 0
0.0910448 , -1.00457 , 0
0.10798 , -1.00288 , 0
0.124885 , -1.00089 , 0
0.141753 , -0.998622 , 0
0.158581 , -0.996065 , 0
0.175363 , -0.993221 , 0
0.192095 , -0.990093 , 0
0.208772 , -0.986679 , 0
0.225389 , -0.982983 , 0
0.241941 , -0.979004 , 0
0.258423 , -0.974743 , 0
0.274832 , -0.970203 , 0
0.291161 , -0.965384 , 0
0.307406 , -0.960287 , 0
0.323563 , -0.954914 , 0
0.339628 , -0.949266 , 0
0.355594 , -0.943346 , 0
0.371458 , -0.937154 , 0
0.387215 , -0.930692 , 0
0.402861 , -0.923963 , 0
0.418391 , -0.916968 , 0
0.433801 , -0.909709 , 0
0.449085 , -0.902188 , 0
0.464241 , -0.894407 , 0
0.479262 , -0.886369 , 0
0.494146 , -0.878075 , 0
0.508887 , -0.869529 , 0
0.523482 , -0.860731 , 0
0.537925 , -0.851686 , 0
0.552214 , -0.842395 , 0
0.566343 , -0.832861 , 0
0.580309 , -0.823087 , 0
0.594108 , -0.813076 , 0
0.607735 , -0.80283 , 0
0.621186 , -0.792352 , 0
0.634459 , -0.781645 , 0
0.647548 , -0.770712 , 0
0.660449 , -0.759557 , 0
0.67316 , -0.748182 , 0
0.685677 , -0.736591 , 0
0.697995 , -0.724787 , 0
0.710111 , -0.712774 , 0
